ID	Bifidobacterium adolescentis	Bifidobacterium bifidum	Bifidobacterium longum	Bifidobacterium pseudocatenulatum	Collinsella aerofaciens	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides dorei	Bacteroides eggerthii	Bacteroides faecis	Bacteroides finegoldii	Bacteroides fragilis	Bacteroides intestinalis	Bacteroides massiliensis	Bacteroides ovatus	Bacteroides salyersiae	Bacteroides stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides xylanisolvens	Bacteroidales bacterium ph8	Barnesiella intestinihominis	Coprobacter fastidiosus	Odoribacter splanchnicus	Parabacteroides distasonis	Parabacteroides goldsteinii	Parabacteroides merdae	Parabacteroides unclassified	Paraprevotella clara	Paraprevotella unclassified	Prevotella copri	Alistipes finegoldii	Alistipes onderdonkii	Alistipes putredinis	Alistipes shahii	Alistipes unclassified	Streptococcus salivarius	Clostridium bolteae	Clostridium citroniae	Clostridium clostridioforme	Clostridium hathewayi	Clostridium leptum	Clostridium nexile	Clostridium symbiosum	Flavonifractor plautii	Eubacterium eligens	Eubacterium hallii	Eubacterium rectale	Eubacterium siraeum	Eubacterium sp 3 1 31	Eubacterium ventriosum	Ruminococcus gnavus	Ruminococcus obeum	Ruminococcus torques	Coprococcus comes	Dorea longicatena	Lachnospiraceae bacterium 1 1 57FAA	Lachnospiraceae bacterium 3 1 46FAA	Roseburia hominis	Roseburia intestinalis	Roseburia inulinivorans	Roseburia unclassified	Oscillibacter unclassified	Peptostreptococcaceae noname unclassified	Faecalibacterium prausnitzii	Ruminococcus bromii	Ruminococcus callidus	Ruminococcus lactaris	Subdoligranulum unclassified	Coprobacillus unclassified	Acidaminococcus unclassified	Dialister invisus	Veillonella atypica	Veillonella dispar	Veillonella parvula	Veillonella unclassified	Burkholderiales bacterium 1 1 47	Parasutterella excrementihominis	Sutterella wadsworthensis	Bilophila unclassified	Escherichia coli	Escherichia unclassified	Klebsiella pneumoniae	Haemophilus parainfluenzae	Akkermansia muciniphila	C2likevirus unclassified
CSM5MCYU_P	0	0	186	0	0	471	0	4169	0	0	0	0	0	0	933	0	1309	0	2738	1821	44	0	0	0	0	1499	0	0	69	0	556	88872	0	0	0	0	0	0	104	0	0	0	1231	0	35	355	555	0	35206	0	0	13	0	0	472	0	0	0	162	273	229	657	0	4970	0	14410	0	99	0	1368	0	0	0	0	0	0	0	0	0	0	0	68	202	0	0	64694	1665
ESM5MEB9_P	1933	2652	5680	0	1626	26062	0	14779	0	241	0	0	0	1601	60716	195	1540	24602	3252	116049	3863	0	0	0	0	0	0	3713	23022	0	0	138161	0	362	0	0	0	0	1089	0	0	0	872	0	546	0	0	1510	9354	0	0	788	0	11452	88482	2409	3906	0	5974	0	0	14249	0	0	0	89273	0	0	63	13669	0	0	0	11	0	403	508	0	0	14611	1980	13410	2638	0	32447	0	0
HSM6XRQC_P	0	0	47	0	0	0	0	0	0	0	0	67169	0	0	2509	0	8142	1034	0	1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	2557	10	0	0	0	2942	0	0	0	1776	0	341	0	0	0	0	0	0	148	0	0	0	0	0	0	0	70	0	0	0	351	463	7151	0	0	0	0	0	954	157	1368	459	0	23073
HSM6XRQE_P	15696	0	0	0	0	0	0	2211	0	0	0	0	0	8415	4749	0	12673	0	1266	14641	0	0	0	0	0	0	0	0	2334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33715	0	0	0	5437	0	0	0	0	0	0	0	0	0	0	0	18527	10244	0	0	0	0
CSM67U9V_P	497	0	0	0	174	31889	0	7306	0	369	0	31600	0	0	29042	0	0	15561	181037	24822	65114	23474	0	0	21556	605	0	0	9963	0	0	0	2817	52757	53198	0	0	0	0	0	0	17	0	0	0	321	5105	0	1710	0	0	40	0	812	428	420	0	0	371	2376	364	406	0	7307	0	28707	0	2329	0	28215	170	0	1519	0	0	0	84	0	0	0	0	2301	1367	0	0	0	0
HSM67VDX_P	0	0	30496	40116	7269	53129	2105	40251	0	0	0	11265	0	0	9779	0	98156	6591	3104	81	1132	0	0	0	5373	20731	0	30318	0	0	2	0	2316	15093	52639	3804	0	0	4046	141	0	661	5864	0	2	278	3341	2586	54711	0	528	0	51677	3673	123066	11376	10660	0	14457	4181	421	753	0	4405	0	7842	0	0	6926	17529	93	15079	30	0	0	0	0	380	824	0	1661	4495	301	0	124	0	1278
HSM67VDR_P	39	548	472	0	153	977	0	1266	21	1347	4409	316	0	30875	16541	0	24516	1	6832	45000	2290	0	0	0	0	13	0	6217	8315	13132	62563	0	0	0	9234	868	0	0	0	0	0	0	31	0	0	0	112	97	5881	55	0	120	201	283	1193	305	468	0	250	193	21337	25243	0	270	161	19206	0	0	0	6748	0	0	639	26	83	316	370	0	0	15826	41	121	50	0	6834	0	133
MSM6J2N6_P	7601	40	1621	0	2058	0	0	3441	0	0	0	0	0	0	3242	0	0	477	2436	6436	0	453	6015	0	0	0	0	3519	0	0	0	323405	0	1295	6955	0	0	1155	0	0	0	0	0	0	0	0	1419	0	3640	0	0	0	0	310	0	0	528	0	0	0	226	0	84	1517	0	11353	0	0	0	2179	0	10127	0	206	60	1172	1168	0	0	15776	0	0	0	0	2581	0	368
PSM6XBRM_P	19	0	117	12	82	0	18096	10371	0	155947	0	74926	0	0	14126	0	88	0	132688	78800	7509	465	0	0	40061	1983	0	0	14308	0	0	0	6648	1340	35443	5183	0	224	0	0	0	0	0	0	0	0	7195	0	9647	0	0	0	1728	1854	3742	479	107	0	132	0	0	498	21	527	404	16203	1719	0	0	4916	0	0	29975	238	61	226	836	0	0	0	843	495	0	0	3038	0	0
CSM79HG7_P	0	0	5397	0	91	0	9377	720	0	0	6390	10976	0	0	1326	0	0	5715	48825	1742	4743	0	0	0	11287	333	0	19090	0	1295	898	0	0	0	59619	17818	0	81	0	0	0	0	0	0	208	0	0	500	887	3654	0	1375	0	286	252	1433	0	0	0	444	203	0	253	6237	0	22647	2593	0	180	34367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
